Procedure,Classification,Type,Category,Task Object,Value,Human Role,Autonomy Role
BEFORE TAKEOFF,NORM,Checklist,,Takeoff clearance,CONFIRM,performer,supporter
BEFORE TAKEOFF,NORM,Checklist,,Pitot-Static Switch,PITOT-STATIC,performer,supporter
BEFORE TAKEOFF,NORM,Checklist,,ENGINE ANTI-ICE Switches,AS REQUIRED,performer,supporter
BEFORE TAKEOFF,NORM,Checklist,,WINDSHIELD ANTI-ICE Switches,AS REQUIRED,performer,supporter
BEFORE TAKEOFF,NORM,Checklist,,PAX SAFETY Switch,PAX SAFETY,performer,supporter
BEFORE TAKEOFF,NORM,Checklist,,LANDING Light Switch,AS DESIRED,performer,supporter
BEFORE TAKEOFF,NORM,Checklist,,ANTI-COLL Light Switch,ON,performer,supporter
BEFORE TAKEOFF,NORM,Checklist,,Radar,AS REQUIRED,performer,supporter
LINE-UP AND HOLD,NORM,SOP,,Runway centerline,ALIGN,performer,
LINE-UP AND HOLD,NORM,SOP,,Brakes,HOLD,performer,
TAKEOFF,NORM,SOP,,"""Set thrust""",ANNOUNCE,performer,
TAKEOFF,NORM,SOP,,THROTTLES,TO Detent,performer,
TAKEOFF,NORM,Checklist,,Brakes,RELEASE,performer,
TAKEOFF,NORM,Checklist,,Elevator Control,ROTATE,performer,
TAKEOFF,NORM,SOP,,Pitch,MAINTAIN 10°,performer,
TAKEOFF,NORM,SOP,,Slip/Skid,CHECK,performer,supporter
TAKEOFF,NORM,SOP,,LANDING GEAR,UP,performer,
AFTER TAKEOFF,NORM,Checklist,,LANDING GEAR Handle,UP,performer,supporter
AFTER TAKEOFF,NORM,Checklist,,Obstacles,CHECK CLEAR,performer,supporter
AFTER TAKEOFF,NORM,Checklist,,FLAP Handle,UP,performer,supporter
AFTER TAKEOFF,NORM,Checklist,,THROTTLES,CLB Detent,performer,supporter
AFTER TAKEOFF,NORM,Checklist,,Anti-Ice/Deice Systems,AS REQUIRED,performer,supporter
AFTER TAKEOFF,NORM,Checklist,,PAX SAFETY Switch,AS REQUIRED,performer,supporter
